t,distance,Alg,Pyc,Urchin,ID,tank
60.38888888888889,1149.0679415620093,Algae,Pycno,Starved,S01,TF2
60.05555555555556,715.8374510512704,Algae,No Pycno,Starved,S03,TF2
60.11111111111111,862.5871355471079,No Algae,No Pycno,Fed,F01,TF1
60.55555555555556,858.3630317471394,Algae,Pycno,Fed,F02,TF2
59.72222222222222,618.1720794375058,Algae,Pycno,Starved,S04,TF1
59.777777777777786,820.9744594448546,Algae,No Pycno,Fed,F03,TF2
58.611111111111114,253.85833302044077,Algae,No Pycno,Starved,S05,TF1
50.5,753.2085070051668,No Algae,No Pycno,Fed,F04,TF2
59.77777777777778,849.0032747135266,No Algae,No Pycno,Fed,F05,TF1
59.44444444444445,612.2627048398276,Algae,Pycno,Starved,S06,TF2
59.88888888888889,322.6988062337178,No Algae,No Pycno,Starved,S07,TF1
59.777777777777786,731.5651707264544,No Algae,No Pycno,Starved,S08,TF2
60.166666666666664,1052.320113419377,Algae,No Pycno,Fed,F06,TF1
59,502.788559305506,Algae,No Pycno,Fed,F07,TF2
60.111111111111114,990.1862388900269,No Algae,Pycno,Fed,F08,TF1
57.94444444444445,249.69789620436418,Algae,No Pycno,Starved,S09,TF2
58.44444445,435.59444152031625,No Algae,Pycno,Fed,F09,TF1
57.88888888333334,742.8384047049254,Algae,Pycno,Fed,F10,TF2
60.05555555,1006.7149357019272,Algae,Pycno,Fed,F11,TF1
60.44444445,678.7835801693301,No Algae,Pycno,Fed,F12,TF2
58.94444445,547.6854919641859,No Algae,Pycno,Starved,S10,TF1
58.5,764.6658563282923,No Algae,No Pycno,Starved,S11,TF2
59.277777783333335,822.5763962826114,No Algae,Pycno,Starved,S12,TF1
59.61111111666666,929.4053523927402,Algae,Pycno,Starved,S13,TF2
59.38888888333334,1086.5564254020817,Algae,No Pycno,Fed,F13,TF1
58.722222216666665,485.31714272339053,Algae,Pycno,Starved,S14,TF2
60,267.1807426926863,Algae,No Pycno,Starved,S15,TF1
58.94444445,421.8824225488664,Algae,No Pycno,Starved,S16,TF2
59.88888888333334,1055.28684871031,Algae,No Pycno,Fed,F14,TF1
57.833333333333336,457.5882953429345,No Algae,No Pycno,Starved,S17,TF2
59.666666666666664,841.2677945452173,No Algae,No Pycno,Fed,F15,TF1
60.166666666666664,865.2724876472504,No Algae,Pycno,Fed,F16,TF2
60.333333333333336,763.4142918827429,No Algae,No Pycno,Fed,F17,TF1
58.55555555,439.2083339595112,Algae,Pycno,Starved,S18,TF2
59.777777783333335,518.1194738842248,No Algae,Pycno,Fed,F18,TF1
59.11111111666666,593.6286252394243,No Algae,Pycno,Fed,F19,TF2
59,965.3142718542027,No Algae,No Pycno,Fed,F20,TF1
59,370.6515232987248,No Algae,No Pycno,Starved,S19,TF2
58.277777783333335,603.1942717496344,Algae,No Pycno,Starved,S20,TF1
59.11111111666666,547.4729049262975,No Algae,No Pycno,Starved,S21,TF2
58.38888888333334,708.4292853853659,No Algae,Pycno,Starved,S22,TF1
60.333333333333336,705.11387906214,Algae,Pycno,Fed,F21,TF2
57.277777783333335,1099.9568920882448,Algae,Pycno,Fed,F22,TF1
59.05555555,1217.91945077279,Algae,Pycno,Fed,F23,TF2
59.44444445,455.2011241176725,No Algae,Pycno,Starved,S23,TF1
59.05555555,813.9134197980644,No Algae,Pycno,Starved,S24,TF2
59.166666666666664,937.7030135421376,Algae,No Pycno,Fed,F24,TF1
58.777777783333335,536.7583584721539,Algae,No Pycno,Starved,S25,TF2
